0,50,97,48,24,21,53,25,44,87,41
1,86,38,10,11,40,41,62,68,84,58
2,80,54,8,5,78,38,6,4,91,0
3,37,6,99,5,14,98,64,71,65,58
4,40,12,52,55,22,72,75,1,64,85
5,92,43,62,86,25,11,72,38,42,81
6,81,87,31,8,14,99,71,62,52,82
7,93,19,86,25,78,17,73,81,68,95
8,32,24,90,56,95,39,78,29,3,11
9,25,56,91,42,52,73,23,29,46,20
10,65,28,40,42,38,89,55,82,2,15
11,2,47,19,71,17,15,44,80,18,35
12,64,22,56,37,79,11,50,78,4,75
13,43,61,99,78,39,18,92,8,27,36
14,34,44,51,24,41,58,61,82,37,48
15,29,5,63,68,36,11,99,92,39,88
16,96,41,24,64,75,86,29,60,20,6
17,67,58,70,32,28,52,65,85,54,96
18,94,64,90,79,62,9,45,88,91,52
19,1,70,40,83,43,18,76,47,10,38
20,87,8,82,22,17,37,14,46,12,34
21,6,42,81,44,9,30,58,98,37,69
22,11,39,68,72,45,5,49,54,14,8
23,11,14,18,55,45,58,7,44,47,8
24,92,99,26,78,53,72,19,38,56,27
25,90,45,73,35,15,62,28,41,72,32
26,18,12,75,96,21,46,93,66,97,52
27,90,9,76,59,70,34,37,94,85,41
28,54,8,89,90,99,46,30,63,18,35
29,62,83,39,80,52,13,36,26,38,93
30,76,91,90,40,64,14,28,92,78,11
31,49,91,87,84,94,50,72,10,82,66
32,81,64,61,48,44,58,26,52,95,49
33,64,44,23,72,29,1,68,45,48,83
34,11,63,60,47,17,31,72,76,69,99
35,49,90,66,67,10,74,93,28,27,91
36,31,26,14,50,57,8,4,34,9,61
37,6,95,60,1,66,25,88,52,97,33
38,95,77,53,2,6,12,4,56,91,45
39,98,67,45,77,73,29,61,62,44,94
40,45,52,70,85,90,77,60,57,69,79
41,43,78,52,81,97,90,79,19,70,32
42,65,37,85,17,93,52,99,91,0,78
43,57,19,34,89,96,62,93,17,6,90
44,94,34,13,90,76,20,77,53,45,35
45,24,35,79,57,56,72,36,92,41,15
46,31,82,24,93,96,14,62,2,18,63
47,26,95,89,88,80,36,66,60,8,79
48,24,56,35,34,6,41,26,92,30,18
49,28,16,97,4,12,60,6,23,91,52
50,95,7,58,6,30,2,11,36,78,45
51,88,35,81,63,48,78,75,59,44,7
52,87,92,9,45,79,68,39,57,4,90
53,0,79,69,19,97,37,45,25,94,84
54,15,44,67,56,74,93,26,52,63,30
55,2,32,18,81,25,9,83,16,21,27
56,73,2,5,68,96,70,41,59,10,78
57,78,46,40,49,60,63,83,59,99,61
58,60,0,65,38,81,77,13,74,31,61
59,67,94,47,43,21,27,26,76,24,64
60,2,74,35,38,30,16,64,99,96,17
61,37,82,93,19,36,14,1,92,66,15
62,42,63,82,38,6,72,65,33,45,96
63,41,51,79,70,88,28,0,55,96,98
64,67,92,31,42,58,50,84,71,70,44
65,5,48,51,10,47,84,78,63,96,13
66,99,78,68,25,56,14,26,3,40,51
67,95,3,83,50,45,51,49,48,57,4
68,26,6,78,3,61,9,34,7,1,0
69,85,96,80,78,47,16,43,89,33,46
70,89,38,55,39,80,20,12,8,30,32
71,63,29,53,66,56,84,10,87,58,5
72,60,82,32,30,62,36,52,95,4,67
73,76,65,37,98,8,86,85,29,75,38
74,78,76,37,32,93,40,18,51,64,90
75,11,51,50,23,55,69,29,87,42,96
76,90,82,61,98,14,79,46,10,94,5
77,62,93,76,67,83,63,37,6,36,9
78,9,40,38,35,95,50,30,81,19,52
79,88,95,96,29,99,1,17,19,46,10
80,95,58,49,82,96,55,75,29,28,94
81,78,43,85,94,63,40,36,6,98,96
82,16,69,34,98,96,11,60,41,90,14
83,62,34,39,70,40,32,15,35,23,59
84,16,49,22,91,3,41,55,61,68,80
85,43,28,71,88,96,21,76,89,19,42
86,41,34,94,33,71,89,66,79,90,24
87,8,0,84,67,7,16,53,1,44,92
88,41,34,22,86,43,62,9,50,63,26
89,26,50,58,52,24,25,49,1,74,29
90,16,24,89,86,98,7,49,40,23,25
91,5,77,73,8,12,41,36,48,19,86
92,93,21,41,59,42,3,1,73,32,14
93,3,49,81,46,54,58,26,34,27,38
94,57,82,89,9,2,22,39,11,76,67
95,19,13,64,60,20,76,77,1,17,54
96,30,18,11,23,79,12,92,67,21,1
97,28,5,51,59,40,50,79,95,70,82
98,25,48,93,30,6,79,99,95,50,76
99,15,20,84,7,22,97,41,25,5,34
